RollNo,Name,Sem,Course,Place
0,Name0,Sem0,Course0,Place0
1,Name1,Sem1,Course1,Place1
2,Name2,Sem2,Course2,Place2
3,Name3,Sem3,Course3,Place3
4,Name4,Sem4,Course4,Place4
5,Name5,Sem5,Course5,Place5
6,Name6,Sem6,Course6,Place6
7,Name7,Sem7,Course7,Place7
8,Name8,Sem8,Course8,Place8
9,Name9,Sem9,Course9,Place9
10,Name10,Sem10,Course10,Place10
11,Name11,Sem11,Course11,Place11
12,Name12,Sem12,Course12,Place12
13,Name13,Sem13,Course13,Place13
14,Name14,Sem14,Course14,Place14
15,Name15,Sem15,Course15,Place15
16,Name16,Sem16,Course16,Place16
17,Name17,Sem17,Course17,Place17
18,Name18,Sem18,Course18,Place18
19,Name19,Sem19,Course19,Place19
